studyid;compid;esid;studycompid;name;outcome;comparison;g;var.g;se.g;n.1;n.2;n.total;type.of.treatment;length.of.treatment;publication.status;publication.status.new;publication.year;research.group;control.group.quality;gender.ratio;type.of.outcome;subjectivity.of.outcome.measurement;lab.based.versus.real.world.behavior;stamina.versus.strength;pre.test.measurement;sample.population;sample.age;attrition;participant.compensation;self.control.potential;r1.2;r1.3;r1.4;r1.5;r1.6;r1.7;r1.8;r1.9;r1.10;r1.11;r1.12;r1.13;r2.3;r2.4;r2.5;r2.6;r2.7;r2.8;r2.9;r2.10;r2.11;r2.12;r2.13;r3.4;r3.5;r3.6;r3.7;r3.8;r3.9;r3.10;r3.11;r3.12;r3.13;r4.5;r4.6;r4.7;r4.8;r4.9;r4.10;r4.11;r4.12;r4.13;r5.6;r5.7;r5.8;r5.9;r5.10;r5.11;r5.12;r5.13;r6.7;r6.8;r6.9;r6.10;r6.11;r6.12;r6.13;r7.8;r7.9;r7.10;r7.11;r7.12;r7.13;r8.9;r8.10;r8.11;r8.12;r8.13;r9.10;r9.11;r9.12;r9.13;r10.11;r10.12;r10.13;r11.12;r11.13;r12.13
1;1;1;1_1;Allom & Mullan, 2015, Study 1;#1 bmi;general_vs_control;-0,00859;0,08464;0,29093;21;25;46;Inhibition;10;Yes;Yes;2015;Other;Active;19,51;Eating;High subjectivity;Real-World;Strength;Pre-post;Students;20,43;12,19;Credit;Realized;0,1924855;1;0,3396561;;;;;;;;;;1;0,494335;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;1_1;Allom & Mullan, 2015, Study 1;#2 fat intake;general_vs_control;0,055439;0,08468188;0,291002;21;25;46;Inhibition;10;Yes;Yes;2015;Other;Active;19,51;Eating;High subjectivity;Real-World;Strength;Pre-post;Students;20,43;12,19;Credit;Realized;0,1924855;1;0,3396561;;;;;;;;;;1;0,494335;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;3;1_1;Allom & Mullan, 2015, Study 1;#3 stroop baseline;general_vs_control;-0,0416;0,08465;0,290947;21;25;46;Inhibition;10;Yes;Yes;2015;Other;Active;19,51;Inhibitory Control;Low subjectivity;Lab;Strength;Pre-post;Students;20,43;12,19;Credit;Maximum;0,1924855;1;0,3396561;;;;;;;;;;1;0,494335;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;4;1_1;Allom & Mullan, 2015, Study 1;#4 stroop depletion;general_vs_control;0,532022;0,087717;0,296171;21;25;46;Inhibition;10;Yes;Yes;2015;Other;Active;19,51;Inhibitory Control after Depletion;Low subjectivity;Lab;Stamina;Pre-post;Students;20,43;12,19;Credit;Maximum;0,1924855;1;0,3396561;;;;;;;;;;1;0,494335;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;5;2_1;Allom & Mullan, 2015, Study 2;#1 bmi;general_vs_control;0,052886;0,08403;0,289879;23;23;46;Inhibition;10;Yes;Yes;2015;Other;Active;21,75;Eating;Low subjectivity;Real-World;Strength;Pre-post;Other;22,97;9,75;Mixed;Realized;0,05918999;0,3661267;0,135;;;;;;;;;;0,03497869;0,3077405;;;;;;;;;;0,4239032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;6;2_1;Allom & Mullan, 2015, Study 2;#2 fat intake;general_vs_control;0,272492;0,08480779;0,291218;23;23;46;Inhibition;10;Yes;Yes;2015;Other;Active;21,75;Eating;High subjectivity;Real-World;Strength;Pre-post;Other;22,97;9,75;Mixed;Realized;0,05918999;0,3661267;0,135;;;;;;;;;;0,03497869;0,3077405;;;;;;;;;;0,4239032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;7;2_1;Allom & Mullan, 2015, Study 2;#3 stroop baseline;general_vs_control;1,263631;0,101356;0,318365;23;23;46;Inhibition;10;Yes;Yes;2015;Other;Active;21,75;Inhibitory Control;Low subjectivity;Lab;Strength;Pre-post;Other;22,97;9,75;Mixed;Maximum;0,05918999;0,3661267;0,135;;;;;;;;;;0,03497869;0,3077405;;;;;;;;;;0,4239032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;8;2_1;Allom & Mullan, 2015, Study 2;#4 stroop depletion;general_vs_control;0,654667;0,08865;0,297741;23;23;46;Inhibition;10;Yes;Yes;2015;Other;Active;21,75;Inhibitory Control after Depletion;Low subjectivity;Lab;Stamina;Pre-post;Other;22,97;9,75;Mixed;Maximum;0,05918999;0,3661267;0,135;;;;;;;;;;0,03497869;0,3077405;;;;;;;;;;0,4239032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;9;3_1;Bartsch et al., 2016;#1 alcohol consumption;inhib_vs_control;0,027982;0,02872324;0,169479;58;68;126;Inhibition;4;Yes;Yes;2016;Other;Active;26,8;Health Behavior;High subjectivity;Real-World;Strength;Pre-post;Students;19,4;24;Credit;Realized;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;10;3_1;Bartsch et al., 2016;#2 stroop effect;inhib_vs_control;-0,01958;0,03156;0,177651;58;68;126;Inhibition;4;Yes;Yes;2016;Other;Active;26,8;Inhibitory Control;Low subjectivity;Lab;Strength;Pre-post;Students;19,4;24;Credit;Maximum;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
