n,n_ES
2295,2
2285,11
2283,1
2274,4
2270,5
2257,4
2255,3
2246,4
2171,5
2150,38
2139,8
2139,5
2123,2
2123,2
2079,1
2064,1
2064,5
2064,5
2064,5
2062,9
2048,1
1982,1
1969,8
1968,4
1941,1
1919,1
1859,1
1859,1
1835,5
1828,6
1817,1
1806,6
1715,2
1687,2
1687,3
1678,3
1677,14
1651,9
1651,10
1651,9
1651,4
1646,2
1636,3
1625,22
1607,4
1607,4
1602,1
1594,2
1570,2
1570,2
1558,17
1534,6
1534,6
1534,6
1534,9
1502,8
1501,3
1501,2
1501,3
1492,1
1482,4
1460,1
1458,22
1454,3
1454,2
1446,2
1428,26
1424,6
1411,4
1403,3
1393,1
1386,2
1334,4
1330,1
1330,6
1318,7
1318,3
1313,5
1304,8
1287,5
1286,8
1280,1
1273,6
1273,14
1268,2
1267,1
1236,1
1228,2
1224,4
1224,4
1217,3
1203,5
1203,4
1196,1
1177,2
1152,9
1151,3
1149,2
1146,1
1144,2
1140,4
1137,3
1135,2
1113,1
1102,2
1102,2
1081,2
1071,5
1066,3
1053,4
1050,6
1049,7
1048,3
1043,6
1043,2
1028,4
1019,3
1019,3
1019,2
1018,3
1016,8
1008,1
998,2
984,15
959,2
958,3
958,5
951,1
921,4
917,3
914,2
913,3
911,7
911,4
906,2
902,2
902,2
898,11
896,4
896,7
896,5
896,5
896,6
881,4
869,5
866,1
815,16
808,1
798,9
793,2
775,4
746,1
743,5
743,5
719,12
716,2
703,2
701,2
700,2
696,19
688,2
669,1
669,5
666,9
660,5
631,3
626,1
619,1
619,1
617,1
610,3
605,1
605,4
591,4
591,2
590,6
565,1
557,1
554,1
548,4
548,5
536,2
529,1
529,6
519,4
519,4
518,9
516,3
516,2
514,2
514,2
514,2
514,1
510,48
501,7
499,3
497,2
482,2
469,8
468,3
467,9
466,1
463,3
458,2
456,1
456,4
456,1
455,2
454,2
454,3
454,2
448,1
445,5
443,1
436,7
435,5
427,6
426,4
426,1
425,4
421,5
420,1
410,2
410,7
406,6
405,3
405,5
402,6
402,4
401,4
398,5
394,2
389,15
385,4
384,2
384,3
379,2
374,5
366,3
358,5
358,1
349,2
344,11
343,6
339,3
338,5
331,10
328,2
326,9
325,1
324,5
320,3
318,5
318,5
317,6
317,8
309,4
302,7
301,2
301,6
300,3
299,3
297,7
297,3
290,1
286,3
282,5
281,7
278,2
276,4
274,1
273,1
273,2
270,8
268,1
268,1
264,4
264,4
260,2
259,4
259,4
258,2
258,9
253,1
252,6
249,11
249,2
247,19
247,16
243,1
241,2
241,3
240,2
238,4
235,5
233,1
231,3
226,16
224,5
224,1
221,8
219,2
216,7
215,1
213,5
212,2
212,3
211,3
205,1
205,9
204,6
203,1
202,4
199,4
197,2
197,10
196,1
196,7
196,3
196,7
195,3
192,2
192,1
190,8
188,9
188,2
186,5
185,4
184,2
183,4
182,2
180,2
178,2
172,2
171,9
165,3
164,7
164,9
164,3
163,3
162,2
159,1
158,11
158,14
157,1
155,10
152,7
150,2
150,3
150,6
149,2
149,7
146,1
145,1
145,1
144,2
144,1
143,6
143,4
143,7
142,4
142,5
142,10
141,2
140,2
140,3
139,6
138,4
137,3
137,3
137,12
136,3
134,2
134,1
131,6
130,2
130,8
130,6
129,1
128,2
127,7
127,9
126,3
126,7
126,5
124,10
124,2
124,4
124,1
124,5
123,8
119,5
118,1
116,12
115,2
112,8
109,2
108,7
106,7
106,4
106,2
105,1
105,4
104,14
104,7
104,10
104,7
102,3
102,6
101,2
101,6
100,6
100,12
100,11
100,5
99,7
98,1
98,11
97,1
97,4
95,3
94,5
94,2
94,5
94,4
94,3
94,2
94,2
94,1
93,7
93,2
93,4
92,1
91,8
91,7
91,6
89,3
89,6
89,3
88,3
87,2
87,1
86,6
86,7
86,2
86,3
86,3
86,6
85,3
85,2
84,5
84,5
84,3
84,6
84,6
82,4
81,1
81,6
81,4
80,2
79,3
79,1
78,2
78,1
78,4
78,6
78,4
77,3
77,2
76,3
75,3
75,3
74,8
74,7
74,10
74,10
74,3
73,1
73,10
72,9
72,2
71,6
71,2
71,2
70,1
70,1
70,1
70,1
70,1
70,1
70,1
69,2
69,4
69,1
69,1
69,1
68,9
68,1
68,1
67,8
67,4
67,7
66,8
66,4
66,5
66,2
63,4
63,1
63,1
63,4
63,1
63,5
63,5
63,1
62,3
62,1
61,1
61,1
61,1
61,1
61,3
61,5
60,6
60,4
60,10
60,2
60,8
60,1
60,2
59,1
59,1
59,5
59,1
59,4
58,1
58,6
57,2
56,2
56,4
55,1
55,6
54,1
52,1
52,3
51,3
51,4
51,2
51,1
51,1
50,14
50,1
50,2
50,1
49,3
48,7
48,18
48,9
48,2
48,3
48,3
47,4
47,22
47,2
47,3
47,6
46,7
46,4
46,5
46,1
46,4
46,5
46,6
46,5
46,3
45,5
45,2
45,4
44,1
44,3
43,1
43,1
42,4
42,1
42,2
42,5
42,1
41,10
40,7
40,3
40,9
40,2
40,4
40,1
40,2
40,3
40,2
40,3
39,8
39,1
39,1
39,15
39,3
39,3
38,1
38,2
38,1
38,2
38,4
38,1
38,5
37,3
37,4
37,2
37,4
37,1
